POS1;POS2;POS3;POS4;POS5;POS6;POS7;POS8;PP1;PP2;PP3;PP4;PP5;PP6;PP7;PP8;PP9;PP10;IW1;IW2;IW3;IW4;UW1;UW2;UW3;DW1;DW2;DW3;PW1;PW2;PW3;PW4;PW5;V1;V2;V3;V4;V5;V6;D1;D2;D3;D4;D5;A1;A2;A3;A4;A5;A6;EC1;EC2;EC3;EC4;EC5;EC6;EC7;EC8;EC9
5;4;5;3;4;5;4;5;3;4;4;4;4;4;5;4;4;4;4;4;3;5;5;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;4;4;4;4;3;5;4;4;5;4;4;4;4;3;3;5;4;3;3;3;3;4;4;4;4;3;3;4;5;5;4;4;3;4;4;4;4;4;4;4;3;3;4;4;4;4;5;5;3;5;4;4;4;3;3;4;4;3
5;5;5;2;4;5;5;5;4;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;5;4;5;5;4;5;3;4;4;4;4;4;4;4;5;5;5;3;5;4;4;5;4;4;4;4;4;4;4;3
5;5;5;4;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;4;4;5;4;5;4;5;5;3;4;4;4;4;4;4;4;5;4
4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;4;4;4;4;4;5;4;4;4;4;4;3;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4
5;5;5;4;4;5;4;5;5;5;5;5;5;5;5;5;5;5;4;4;3;4;5;4;4;4;4;4;5;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;5;4;3
4;4;5;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4
4;4;4;4;3;4;3;4;3;4;4;4;4;4;5;4;4;4;4;4;4;4;5;3;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;4;4;4;4;4;3;4
5;5;5;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5;4;3;3;4;4;5;4;4;4;5;4;5;5;5;5;3;4;3;5;4;4;4;4;4;4;5;5;4;4;5;5;3;5;5;4;4;4;5;4;4;3
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;4
5;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;4;4;4;4;5;4;4;4;4;4;4;4;4;5;5;5;5;4;4;4;4;4;4;4;4;4;4;5;5;4;4;5;5;4;4;4;4;4;4;4;4;4;4
5;5;5;4;5;5;5;5;5;5;4;5;4;5;4;4;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4
4;4;5;5;4;4;5;5;5;4;5;4;5;5;5;4;4;4;4;4;3;4;5;4;2;4;3;3;4;4;4;4;4;4;2;2;4;2;4;5;4;3;4;4;4;3;5;4;4;4;5;4;2;4;3;3;4;4;3
5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;4
5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
4;4;4;4;4;4;4;4;5;5;4;4;5;5;5;5;5;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
4;2;4;3;2;4;2;4;4;4;4;4;4;4;4;4;4;2;2;3;3;4;4;2;2;2;3;3;4;3;3;2;4;3;2;2;2;2;2;5;5;3;2;2;4;2;5;3;3;3;3;2;2;2;3;3;4;2;4
5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;4;4;4;4;5;4;5;5;4;4;3;5;5;5;5;5;4;5;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;3;3;5;5;5;4;4;5;5;5;5;5;5;4;5
5;5;5;5;5;5;5;5;3;4;4;4;4;5;5;4;5;4;3;3;3;3;4;4;4;4;4;4;5;5;5;5;5;3;4;5;4;4;4;4;4;4;3;5;5;4;4;5;5;3;4;4;4;4;4;4;5;5;4
4;5;5;2;5;5;3;5;5;5;5;4;5;5;5;5;4;5;3;3;5;5;5;4;4;5;5;5;5;5;5;5;5;3;4;4;4;4;5;4;5;5;3;5;5;4;4;5;5;3;4;4;4;5;5;5;5;5;4
5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;4;4;4;4;5;4;5;5;5;3;4;4;5;4;4;4;4;4;5;5;5;4;4;4;5;3;4;5;4;4;4;4;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
3;4;4;4;3;4;4;4;3;4;4;3;4;4;5;4;3;4;4;4;3;4;4;4;4;4;3;3;4;3;3;4;3;4;4;3;4;4;4;4;4;3;4;4;3;4;4;3;3;4;4;4;4;4;3;3;4;3;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;4;5;5;5;5;4;3;2;5;3;4;4;5;3;4;3;3;4;5;4;4;4;4;4;4;4;5;5;5;3;4;3;4;4;4;4;4;4;4;5;5;4;4;4;5;5;5;4;4;4;4;4;4;4;4
5;5;5;3;3;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5
5;5;5;3;5;5;5;5;4;5;4;4;4;4;5;4;4;4;5;5;4;5;5;5;3;4;2;4;5;5;4;2;4;5;3;5;5;3;4;3;4;5;5;2;4;3;3;5;4;5;5;5;3;4;2;4;5;5;5
5;4;4;4;5;4;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;4;5;4;4;5;5;5;5;5;5;5;5
5;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;4;4;4;4;4;4;4;4;4;4;5;5;4;3;4;4;4;4;4;4;5;4;5;4;4;4;4;5;4;4;4;4;4;4;4;4;5
4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;4;4;4;5;4;4;4;5;4;4;4;4;4;5;5;4;4;4;4;4;5;4;5;4;4;5;5;4;4;4;4;4;4;4;4;5;4;4;4;4;4
4;4;4;4;2;3;3;4;5;5;4;4;5;5;5;5;4;3;3;4;3;4;4;3;3;3;4;3;4;4;4;4;4;4;3;3;3;3;3;3;3;4;3;4;4;3;3;4;4;4;4;3;3;3;4;3;4;2;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5
4;4;5;4;4;5;5;5;4;5;5;4;4;5;5;5;4;4;2;2;4;4;5;4;4;4;4;4;4;4;4;5;5;2;4;4;4;4;4;4;4;4;2;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4
5;5;5;3;3;5;3;5;5;5;5;5;5;5;5;5;5;5;3;3;3;4;5;5;3;3;5;5;5;5;5;5;5;3;3;3;5;3;3;3;3;5;3;5;5;3;3;5;5;3;4;5;3;3;5;5;5;3;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;3;5;5;5;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;5;3;4;4;4;4;4;4;3;4;4;4;4;4;4;3;5;4;4;4;4;4;4;3;3
5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5
5;4;5;5;5;5;4;5;5;4;4;4;5;5;5;5;5;4;5;4;4;5;4;4;5;5;4;4;5;4;5;5;5;4;5;4;4;5;5;5;5;4;5;5;5;5;5;4;5;4;4;4;5;5;4;4;5;5;4
5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;3;5;5;5;5;3;5;5;4;4;5;5;3;3;5;5;5;5;5;5;4;4;5;5;5;5;5;5;3;5;5;5;5;3;5;4
5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;4;4;3;5;5;4;4;4;4;4;4;3;3;4;3;4;4;3;4;4;4;4;4;4;4;4;3;4;4;3;3;4;5;4;4;4;4;4;4;5;4
5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;4;4;4;4;4;4;5;4;5;5;5;4;4;4;4;4;4;4;4;5;5;5;4;4;5;4;5;4;4;4;4;4;4;4;5;4
5;5;2;4;3;5;3;5;4;5;3;4;5;5;4;5;5;5;3;3;3;5;3;2;5;4;4;4;3;4;4;4;4;3;5;4;2;5;4;5;4;4;3;4;4;5;5;4;4;3;3;2;5;4;4;4;3;3;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;4;4;4;4;4;4;4;4;4;5;4;5;4;2;4;4;4;4;4;4;4;4;2;5;4;4;4;5;4;2;5;4;4;4;4;4;4;5;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4
4;4;4;4;4;5;5;5;4;4;4;4;5;5;4;4;5;4;4;4;4;4;5;4;4;4;4;4;4;5;5;5;5;4;4;5;4;4;4;4;4;4;4;5;5;4;4;5;5;4;4;4;4;4;4;4;4;4;4
5;5;3;3;2;4;4;5;4;5;4;4;4;5;5;4;5;5;2;2;4;3;4;4;3;2;3;4;4;3;3;2;4;2;3;2;4;3;2;3;5;3;2;2;4;3;3;3;3;2;3;4;3;2;3;4;4;2;3
4;3;4;4;3;5;3;5;3;3;3;3;3;4;4;3;4;4;2;2;5;4;4;2;4;4;4;4;4;4;4;4;4;2;4;2;2;4;4;4;4;4;2;4;4;4;4;4;4;2;3;2;4;4;4;4;4;3;2
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5
4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;3;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
4;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;4;5;4;4;5;5;5;4;4;4;5;5;5;5;5;5;4;4;4;5;4;4;4;4;4;5;4;5;4;4;4;5;5;4;5;4;4;4;5;5;5;4;3
4;4;3;2;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;4;2;4;4;4;4;5;5;5;5;4;2;5;4;2;4;5;4;4;4;5;5;2;5;5;5;4;5;4;2;4;4;4;4;5;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;4;4;4;4;4;5;3;5;5;5;5;5;5;5;4;4;5;5;4;4;4;5;5;5;5;5;5;5;5;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;4;5;4;5;4;5;5;5;5;5;5;5;5;5;5;4;5;4;5;5;5;5;3
4;4;4;5;4;4;4;5;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2;3;3;5;3;3;2;4;5;5;3;5;5;4;3;3;2;3;5;3;4;4;3;3;4;4;3;3;3;5;3;4;3;3;4;3;3;4;4;4;4;3;5;4;3;4;4;5;3;3;3;3;4;4;3;3;3;3;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;5;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;3;3;3;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;5;5;5;5;5;5;5;5;3;3;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;5;5;5;5;5
5;4;4;4;5;5;4;5;5;5;4;5;5;5;5;5;5;4;3;3;3;3;4;5;5;4;5;4;4;5;5;5;5;3;5;4;5;5;4;5;4;5;3;5;5;5;5;5;5;3;4;5;5;4;5;4;4;5;2
5;3;3;3;3;4;5;3;5;5;5;5;5;5;5;5;5;5;3;3;4;5;4;4;5;3;5;5;4;3;5;4;5;3;5;4;4;5;3;5;3;5;3;4;5;5;5;3;5;3;5;4;5;3;5;5;4;3;3
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;3;5;5;4;4;4;4;4;4;5;5;5;5;4;4;5;4;4;4;4;4;4;4;5;5;4;5;5;5;4;5;4;4;4;4;4;4;5;4
5;3;4;5;4;5;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;4;5
5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;4;5;4;4;4;4;4;4;4;4;3;4;3;4;3;4;4;4;4;4;4;3;3;4;4;4;4;4;3;5;4;4;4;4;4;4;5;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;4
5;5;4;4;4;5;5;5;4;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;4;4;4;4;5;4;5;5;5;5;4;4;4;4;4;4;4;4;4;5;5;4;4;4;5;5;5;4;4;4;4;4;5;4;4
5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
4;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4
5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;5;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;4;4;4;4;5;5;5;5;5;4;4;5;4;4;4;4;4;5;5;5;4;4;5;5;5;5;5;4;4;4;4;4;5;5
3;4;4;4;4;4;4;5;4;4;4;4;4;5;4;4;3;4;3;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3
5;5;5;3;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;5
5;5;4;4;4;5;5;5;4;5;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;5;3;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5;3;4;3
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5
5;5;4;5;4;4;4;5;4;5;5;5;5;5;4;4;5;5;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;3;3;3;3;3;3;4;3;3;3;5;3;3;3;3;3;3;3;3;5;3;3;2;3;4;3;5;5;3;3;3;3;3;3;5;4
4;4;4;4;4;5;4;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;5;4;4;4;3;3;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4
5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;4;3;5;4;5;4;4;5;4;5;4;5;5;5;4;4;4;5;4;4;4;4;5;5;5;5;4;4;4;5;4;5;5;4;4;5;4;5;5;5
