order_id,year,month,quarter,supplier_id,supplier_type,transport_mode,product_complexity,order_qty_units,shock_event,regulatory_intensity,crit_dep_index,supplier_delay_rate,inbound_damage_rate,storage_loss_rate,process_rework_trigger_rate,distribution_delay_rate,stockout_rate,supplier_audit_score,monitoring_frequency_per_month,contingency_maturity_likert,collaboration_index,traceability_completeness,data_accuracy,inspection_coverage,unit_cost_cop,unit_cost_sd_cop,cost_var_metric,no_quality_cost_cop,scrap_rate,rework_rate,noq_metric,margin_pct,breakeven_units,on_time_delivery,cycle_time_hours,cycle_time_hours_inv,nonconformity_rate,RiskIndex,SCRM_Practices,TraceIndex,cluster
ORDR-0011,2025,6,2,14,nacional,terrestre,1,256,0,0.729,0.368,0.148,0.044,0.038,0.041,0.099,0.143,100,17,5,0.908,0.314,0.401,0.668,85000,9994,0.1176,1713,0.0082,0.0248,0.0205,30.52,1200,0.838,12.18,0.4698,0.51,0.2524,0.9287,0.4532,1
ORDR-0012,2025,11,4,7,internacional,terrestre,3,259,0,0.18,0.606,0.344,0.137,0.089,0.256,0.25,0.283,100,13,3,0.314,0.419,0.753,0.663,216022,42833,0.1983,27702,0.0576,0.1281,0.1288,18.39,806,0.724,29.33,0.0511,10.5,0.9202,0.4607,0.6099,2
ORDR-0013,2024,9,3,22,nacional,terrestre,1,216,0,0.355,0.536,0.244,0.089,0.075,0.136,0.121,0.257,100,10,4,0.789,0.866,0.785,0.766,125587,15915,0.1267,1801,0.0237,0.1077,0.0144,29.0,879,0.892,14.75,0.345,8.38,0.5925,0.6457,0.8135,2
ORDR-0014,2025,7,3,8,nacional,maritimo,1,118,0,0.235,0.412,0.123,0.079,0.066,0.084,0.1,0.272,100,9,3,0.339,0.721,0.675,0.672,85000,5697,0.067,6554,0.0103,0.0197,0.0708,28.79,1200,0.94,13.8,0.3858,6.27,0.4587,0.3822,0.6897,4
ORDR-0015,2024,9,3,4,nacional,terrestre,1,160,0,0.466,0.333,0.104,0.048,0.045,0.073,0.091,0.057,100,17,4,0.809,0.521,0.344,0.673,85000,1000,0.01,0,0.0034,0.0097,0.0,31.05,1200,0.998,12.97,0.4262,0.0,0.2144,0.8045,0.5062,1
ORDR-0016,2025,1,1,9,nacional,terrestre,2,183,0,0.29,0.413,0.103,0.037,0.016,0.115,0.073,0.153,100,14,4,0.717,0.311,0.482,0.3,138488,18011,0.1301,7618,0.0126,0.0244,0.0618,27.17,851,0.908,19.43,0.2026,8.39,0.2143,0.7085,0.3406,1
ORDR-0017,2024,6,2,19,nacional,aereo,2,193,0,0.208,0.426,0.122,0.037,0.024,0.136,0.048,0.157,100,14,5,0.938,0.843,0.91,0.804,137692,7009,0.0509,5535,0.0,0.0034,0.0376,33.29,698,1.0,16.01,0.2986,0.0,0.2421,0.8736,0.8635,4
ORDR-0018,2024,7,3,18,nacional,terrestre,2,146,0,0.404,0.498,0.308,0.108,0.07,0.189,0.258,0.256,100,7,3,0.401,0.181,0.264,0.416,155238,34706,0.2236,22231,0.0489,0.0919,0.1389,16.35,1200,0.743,24.21,0.114,6.43,0.7631,0.3595,0.2642,3
ORDR-0019,2025,2,1,18,internacional,aereo,3,20,1,0.784,0.402,0.372,0.135,0.087,0.254,0.291,0.293,100,11,3,0.516,0.499,0.38,0.635,343241,80855,0.2356,70848,0.0589,0.1447,0.1994,6.66,1200,0.666,32.28,0.0239,11.27,0.9579,0.4849,0.4968,3
ORDR-0020,2024,4,2,24,nacional,terrestre,3,222,0,0.229,0.43,0.316,0.127,0.087,0.248,0.229,0.265,100,16,4,0.376,0.669,0.684,0.422,169628,30464,0.1796,16499,0.0385,0.1322,0.1131,20.93,901,0.742,32.81,0.0195,9.75,0.8579,0.6377,0.5801,2
ORDR-0021,2025,3,1,4,nacional,terrestre,1,250,0,0.215,0.395,0.291,0.052,0.03,0.098,0.16,0.12,100,14,4,0.81,0.843,0.917,0.846,163366,7767,0.0475,0,0.0,0.0075,0.0,35.89,546,0.888,8.53,0.7761,3.84,0.3821,0.7397,0.8819,4
ORDR-0022,2025,8,3,21,internacional,terrestre,2,75,0,0.38,0.5,0.252,0.089,0.069,0.206,0.183,0.23,100,16,4,0.748,0.941,0.976,0.537,151604,12321,0.0813,6012,0.0065,0.0459,0.0341,32.89,642,0.801,20.66,0.1759,4.8,0.6546,0.7624,0.8187,2
ORDR-0023,2025,11,4,19,nacional,aereo,2,244,0,0.395,0.386,0.07,0.041,0.029,0.15,0.056,0.086,100,7,2,0.382,0.302,0.584,0.461,128742,2970,0.0231,0,0.0137,0.0,0.0,35.63,698,0.962,18.61,0.2224,0.0,0.2028,0.2621,0.4342,1
ORDR-0024,2025,3,1,15,nacional,terrestre,3,68,0,0.031,0.457,0.304,0.118,0.06,0.186,0.272,0.269,100,8,2,0.12,0.588,0.253,0.365,259333,42326,0.1632,14774,0.0452,0.1268,0.0557,21.26,580,0.779,34.78,0.0044,12.83,0.7687,0.196,0.3806,3
ORDR-0025,2024,1,1,5,internacional,terrestre,3,167,0,0.24,0.53,0.371,0.132,0.091,0.261,0.292,0.291,100,9,4,0.233,0.58,0.67,0.634,144775,25518,0.1763,13713,0.0513,0.1372,0.0869,21.79,1014,0.759,31.79,0.028,13.6,0.9659,0.4377,0.6252,2
ORDR-0026,2025,8,3,21,nacional,terrestre,2,266,0,0.124,0.419,0.217,0.109,0.049,0.204,0.206,0.217,100,5,3,0.605,0.186,0.212,0.21,91328,14153,0.155,713,0.0547,0.1146,0.0069,22.14,1200,0.759,22.88,0.135,10.85,0.6276,0.3844,0.1696,3
ORDR-0027,2025,2,1,7,nacional,terrestre,3,252,0,0.102,0.571,0.365,0.101,0.09,0.227,0.271,0.283,100,9,3,0.248,0.647,0.625,0.384,168343,26798,0.1592,19477,0.0285,0.1291,0.1078,22.68,838,0.832,28.89,0.0556,14.56,0.8757,0.3517,0.5376,2
ORDR-0028,2025,11,4,12,nacional,aereo,2,292,0,0.631,0.509,0.262,0.093,0.049,0.203,0.181,0.25,100,17,4,0.912,0.941,0.831,0.881,158557,1586,0.01,455,0.0131,0.0913,0.0026,36.52,553,0.9,17.59,0.2495,6.6,0.6318,0.8391,0.8989,2
ORDR-0029,2024,5,2,15,nacional,terrestre,3,245,0,0.504,0.475,0.321,0.086,0.077,0.234,0.272,0.249,100,7,2,0.031,0.085,0.066,0.47,230050,41854,0.1819,34118,0.0576,0.1165,0.1279,16.31,853,0.76,27.55,0.0702,9.88,0.7894,0.1445,0.1828,3
ORDR-0030,2024,2,1,22,internacional,terrestre,2,100,0,0.245,0.397,0.326,0.133,0.083,0.219,0.281,0.275,100,7,3,0.327,0.479,0.471,0.293,179272,35946,0.2005,14354,0.0486,0.1459,0.0859,19.94,895,0.797,23.73,0.1212,10.74,0.8818,0.3347,0.3918,3
ORDR-0031,2025,11,4,23,internacional,terrestre,2,155,0,0.132,0.396,0.313,0.117,0.073,0.198,0.184,0.203,100,13,3,0.467,0.845,0.88,0.687,185790,13966,0.0752,14641,0.026,0.117,0.0917,33.12,520,0.798,24.2,0.1142,10.45,0.7112,0.512,0.8093,2
ORDR-0032,2025,5,2,1,nacional,aereo,2,162,0,0.388,0.595,0.134,0.046,0.043,0.11,0.095,0.25,100,15,3,0.63,0.313,0.722,0.555,208202,2082,0.01,14308,0.0228,0.0586,0.0696,32.4,474,0.852,17.03,0.266,6.04,0.3704,0.6101,0.5217,1
ORDR-0033,2025,2,1,9,nacional,terrestre,2,291,0,0.157,0.579,0.131,0.066,0.018,0.127,0.178,0.139,100,10,2,0.489,0.514,0.479,0.654,147428,9577,0.065,9510,0.028,0.0057,0.0697,26.13,831,0.942,14.89,0.3395,2.11,0.3391,0.3632,0.5436,1
ORDR-0034,2024,1,1,19,nacional,aereo,1,66,0,0.097,0.313,0.221,0.031,0.043,0.084,0.056,0.144,100,14,4,0.372,0.13,0.154,0.178,115404,10001,0.0867,3294,0.0324,0.0216,0.028,29.26,948,0.835,14.51,0.3548,2.23,0.2847,0.5929,0.118,1
ORDR-0035,2025,10,4,11,nacional,terrestre,1,122,0,0.034,0.646,0.228,0.115,0.049,0.233,0.18,0.293,100,8,3,0.578,0.503,0.427,0.699,85000,14992,0.1764,2304,0.0326,0.0665,0.0271,28.19,1200,0.754,11.73,0.4976,7.62,0.6924,0.4405,0.5388,2
ORDR-0036,2025,9,3,12,nacional,terrestre,3,86,0,0.196,0.406,0.321,0.125,0.088,0.26,0.272,0.299,100,6,2,0.339,0.47,0.25,0.268,174486,34716,0.199,21631,0.0557,0.151,0.1072,18.67,982,0.756,29.28,0.0516,12.56,0.9163,0.226,0.3022,3
ORDR-0037,2024,4,2,10,internacional,terrestre,1,230,0,0.07,0.26,0.108,0.036,0.015,0.065,0.138,0.108,100,7,2,0.175,0.108,0.071,0.14,123901,16861,0.1361,5982,0.0389,0.0437,0.042,22.69,1138,0.878,12.52,0.4505,0.44,0.1918,0.1927,0.0671,1
ORDR-0038,2024,6,2,9,nacional,terrestre,1,123,0,0.269,0.511,0.069,0.047,0.05,0.066,0.106,0.107,100,9,2,0.706,0.702,0.671,0.603,85000,4618,0.0543,141,0.0,0.0,0.0014,33.66,1118,0.956,7.0,1.0,1.36,0.2417,0.4141,0.6556,4
ORDR-0039,2024,10,4,13,internacional,terrestre,2,237,0,0.943,0.239,0.145,0.064,0.038,0.103,0.043,0.191,100,12,3,0.585,0.857,0.805,0.765,214557,12742,0.0594,0,0.0,0.0566,0.0,33.24,449,0.911,15.32,0.3231,1.03,0.3162,0.5298,0.817,4
ORDR-0040,2025,11,4,1,nacional,terrestre,2,132,0,0.348,0.566,0.337,0.119,0.065,0.217,0.27,0.228,100,9,3,0.681,0.468,0.513,0.452,187677,38057,0.2028,17077,0.036,0.0982,0.0916,16.84,1013,0.729,18.83,0.217,9.95,0.792,0.4968,0.463,3
ORDR-0041,2024,2,1,14,nacional,aereo,3,115,0,0.088,0.398,0.228,0.073,0.058,0.162,0.164,0.173,100,9,4,0.641,0.223,0.319,0.589,238032,41721,0.1753,31750,0.0247,0.0963,0.1254,18.43,730,0.792,29.15,0.0529,10.25,0.519,0.5744,0.3634,1
ORDR-0042,2025,6,2,24,nacional,terrestre,3,214,1,0.193,0.594,0.358,0.117,0.088,0.229,0.295,0.281,100,18,5,0.821,0.966,0.926,0.839,172623,36042,0.2088,18527,0.0355,0.1263,0.1027,18.6,997,0.719,35.27,0.001,9.97,0.9056,0.9213,0.9246,2
ORDR-0043,2024,9,3,3,nacional,terrestre,1,203,0,0.321,0.507,0.341,0.112,0.069,0.187,0.226,0.19,100,15,4,0.56,0.494,0.347,0.697,85000,13499,0.1588,7794,0.0525,0.0774,0.0988,24.85,1200,0.835,15.68,0.3101,3.11,0.7206,0.6776,0.5071,2
ORDR-0044,2024,6,2,10,nacional,terrestre,1,97,1,0.316,0.281,0.324,0.115,0.085,0.254,0.222,0.299,100,12,3,0.184,0.085,0.056,0.185,85000,20460,0.2407,12144,0.0702,0.1409,0.1269,12.75,1200,0.618,19.39,0.2036,20.57,0.8617,0.3954,0.0711,3
ORDR-0045,2025,8,3,14,nacional,aereo,3,187,1,0.051,0.354,0.214,0.097,0.079,0.245,0.236,0.178,100,18,5,0.956,0.689,0.93,0.885,200893,27171,0.1352,33020,0.0384,0.0569,0.1698,16.11,989,0.744,31.22,0.0331,7.22,0.6961,0.9665,0.8484,2
ORDR-0046,2024,8,3,7,internacional,terrestre,2,135,0,0.473,0.386,0.201,0.088,0.066,0.092,0.233,0.15,100,14,4,0.34,0.256,0.469,0.654,194552,11950,0.0614,18212,0.037,0.0903,0.0861,31.05,530,0.886,18.31,0.2301,7.95,0.5242,0.5822,0.4517,1
ORDR-0047,2024,11,4,11,nacional,terrestre,3,141,0,0.333,0.332,0.139,0.083,0.07,0.194,0.167,0.207,100,8,2,0.338,0.39,0.689,0.883,194314,27027,0.1391,21515,0.0526,0.0907,0.1256,20.32,811,0.742,26.56,0.0821,5.22,0.5589,0.2691,0.6612,2
ORDR-0048,2024,5,2,21,nacional,aereo,3,226,0,0.536,0.486,0.294,0.127,0.08,0.218,0.288,0.134,100,7,2,0.148,0.458,0.347,0.815,186817,33531,0.1795,11983,0.0375,0.1215,0.0683,19.53,877,0.838,31.6,0.0297,6.82,0.7671,0.1837,0.5396,2
ORDR-0049,2025,10,4,1,internacional,terrestre,2,170,0,0.574,0.362,0.219,0.087,0.043,0.179,0.206,0.163,100,16,4,0.835,0.669,0.735,0.644,183904,12896,0.0701,2629,0.0307,0.0296,0.0146,31.78,548,0.908,19.95,0.191,3.05,0.5343,0.7915,0.6822,4
ORDR-0050,2024,7,3,10,nacional,terrestre,3,212,0,0.989,0.446,0.106,0.083,0.082,0.075,0.099,0.173,100,18,4,0.89,0.846,0.834,0.796,270654,19382,0.0716,10527,0.0202,0.1085,0.044,32.56,363,0.875,26.46,0.0834,9.02,0.4214,0.8534,0.8351,4
ORDR-0051,2025,1,1,3,nacional,terrestre,3,296,0,0.084,0.469,0.117,0.092,0.064,0.12,0.245,0.145,100,5,2,0.656,0.477,0.59,0.762,141232,9514,0.0674,9767,0.0407,0.0267,0.0715,30.51,743,0.914,23.91,0.1185,0.0,0.5072,0.3104,0.6106,4
ORDR-0052,2025,3,1,22,nacional,maritimo,2,250,0,0.289,0.6,0.164,0.097,0.021,0.126,0.086,0.089,100,15,4,0.756,0.877,0.92,0.914,113741,1244,0.0109,1046,0.0,0.0553,0.0088,37.27,755,0.976,14.05,0.3746,0.0,0.3156,0.7433,0.9204,4
ORDR-0053,2025,2,1,18,internacional,terrestre,2,221,0,0.335,0.482,0.182,0.11,0.078,0.181,0.255,0.239,100,14,4,0.907,0.882,0.913,0.753,140559,9312,0.0662,884,0.0387,0.1065,0.0056,33.31,684,0.857,19.8,0.1943,6.57,0.7016,0.7722,0.8586,2
ORDR-0054,2024,5,2,17,nacional,terrestre,3,234,0,0.149,0.62,0.368,0.118,0.083,0.242,0.255,0.274,100,11,3,0.81,0.685,0.843,0.572,248991,44935,0.1805,22146,0.0343,0.1255,0.099,24.02,535,0.752,28.31,0.0618,8.97,0.8808,0.5835,0.6979,2
ORDR-0055,2024,9,3,17,nacional,maritimo,1,49,0,0.39,0.413,0.346,0.132,0.088,0.231,0.259,0.256,100,15,3,0.272,0.804,0.666,0.484,140585,19126,0.136,18382,0.0471,0.1222,0.1183,24.79,918,0.789,13.14,0.4175,10.85,0.8837,0.4901,0.6437,2
ORDR-0056,2024,2,1,18,nacional,terrestre,2,103,0,0.242,0.273,0.159,0.094,0.037,0.168,0.211,0.225,100,13,4,0.474,0.5,0.522,0.203,94923,15739,0.1658,3854,0.0336,0.0647,0.0365,24.28,1200,0.742,23.29,0.1283,10.94,0.5352,0.6053,0.3826,1
ORDR-0057,2025,1,1,21,internacional,terrestre,3,242,0,0.184,0.317,0.1,0.023,0.008,0.041,0.027,0.074,100,12,3,0.917,0.47,0.514,0.661,246365,2464,0.01,1410,0.0009,0.0,0.006,32.44,400,0.968,24.2,0.1141,0.0,0.047,0.641,0.5434,1
ORDR-0058,2024,2,1,21,nacional,terrestre,1,41,0,0.449,0.438,0.11,0.045,0.053,0.066,0.113,0.071,100,14,2,0.732,0.66,0.599,0.517,106643,1480,0.0139,48,0.0311,0.0797,0.0005,32.33,928,0.87,9.81,0.6427,6.94,0.248,0.5315,0.5835,1
ORDR-0059,2024,9,3,11,nacional,terrestre,2,198,0,0.612,0.291,0.256,0.08,0.061,0.208,0.224,0.269,100,13,4,0.558,0.891,0.721,0.765,163457,15596,0.0954,10097,0.0144,0.0873,0.0616,27.79,705,0.854,22.26,0.1456,9.38,0.6785,0.6335,0.7994,2
ORDR-0060,2024,7,3,3,nacional,terrestre,3,71,0,0.483,0.546,0.085,0.05,0.057,0.122,0.086,0.128,100,13,4,0.936,0.671,0.881,0.6,236594,15569,0.0658,3076,0.0069,0.0757,0.0127,32.88,411,0.912,28.53,0.0594,0.0,0.308,0.7602,0.717,4
ORDR-0061,2024,6,2,7,nacional,terrestre,2,38,0,0.337,0.387,0.313,0.104,0.055,0.236,0.271,0.246,100,12,3,0.136,0.751,0.555,0.803,180230,23371,0.1297,13944,0.0303,0.1002,0.0692,25.55,695,0.832,20.53,0.1786,9.35,0.7627,0.3794,0.708,2
ORDR-0062,2024,6,2,19,nacional,terrestre,1,92,0,0.826,0.496,0.354,0.12,0.08,0.14,0.24,0.296,100,16,5,0.674,0.863,0.489,0.646,134500,21452,0.1595,15649,0.0317,0.0922,0.1021,24.57,968,0.818,17.17,0.2618,11.96,0.8038,0.8286,0.6638,2
ORDR-0063,2024,10,4,13,internacional,terrestre,1,171,0,0.327,0.428,0.324,0.064,0.052,0.088,0.164,0.217,100,7,4,0.204,0.462,0.306,0.478,127214,13819,0.1086,16177,0.0362,0.0804,0.1442,20.06,1200,0.931,11.47,0.5145,4.72,0.518,0.3845,0.3987,1
ORDR-0064,2024,5,2,2,internacional,terrestre,3,199,0,0.71,0.47,0.337,0.107,0.08,0.219,0.182,0.147,100,10,2,0.207,0.073,0.077,0.129,292770,65164,0.2226,49220,0.0533,0.1366,0.1427,16.26,672,0.772,29.17,0.0527,7.6,0.7026,0.2687,0.053,3
ORDR-0065,2025,8,3,9,nacional,terrestre,1,126,0,0.85,0.223,0.226,0.09,0.044,0.192,0.124,0.26,100,14,4,0.679,0.584,0.63,0.489,116930,1169,0.01,0,0.0152,0.0592,0.0,34.46,794,0.892,11.8,0.4929,6.28,0.5616,0.6958,0.5576,1
ORDR-0066,2024,5,2,19,nacional,maritimo,1,202,0,0.241,0.53,0.223,0.14,0.067,0.239,0.205,0.254,100,14,4,0.486,0.645,0.913,0.784,92657,10707,0.1156,6398,0.0415,0.1046,0.0601,30.58,1129,0.776,15.59,0.3134,1.74,0.7587,0.6311,0.7891,2
ORDR-0067,2025,1,1,18,nacional,terrestre,3,126,0,0.302,0.48,0.33,0.069,0.074,0.114,0.264,0.183,100,17,5,0.718,0.913,0.885,0.785,192278,7657,0.0398,7050,0.0115,0.1051,0.0398,33.6,495,0.88,29.7,0.0473,8.56,0.6346,0.8651,0.8716,2
ORDR-0068,2024,1,1,18,internacional,terrestre,3,74,0,0.269,0.542,0.3,0.101,0.079,0.241,0.231,0.279,100,13,5,0.904,0.683,0.714,0.673,286203,22466,0.0785,24443,0.0081,0.1069,0.0854,28.07,398,0.829,30.64,0.0383,3.35,0.8016,0.8404,0.6907,2
ORDR-0069,2024,8,3,2,nacional,aereo,2,161,0,0.103,0.391,0.139,0.053,0.05,0.152,0.113,0.12,100,7,3,0.954,0.892,0.871,0.824,118315,9129,0.0772,3177,0.0019,0.0688,0.0281,33.37,811,0.916,21.09,0.1673,3.08,0.3573,0.5448,0.8744,4
ORDR-0070,2025,12,4,20,internacional,terrestre,1,113,0,0.264,0.33,0.154,0.029,0.049,0.112,0.23,0.147,100,3,2,0.143,0.632,0.591,0.573,143634,2751,0.0192,3492,0.0203,0.0651,0.0221,28.71,776,0.919,13.69,0.3909,4.87,0.392,0.0951,0.5924,1
ORDR-0071,2025,6,2,3,nacional,terrestre,3,268,0,0.765,0.387,0.287,0.112,0.088,0.177,0.239,0.233,100,12,3,0.563,0.332,0.33,0.667,243950,31303,0.1283,22371,0.0297,0.1041,0.0813,24.84,528,0.821,27.73,0.0683,9.23,0.7618,0.5224,0.4343,3
ORDR-0072,2024,10,4,18,nacional,terrestre,1,79,0,0.225,0.542,0.1,0.03,0.033,0.119,0.081,0.131,100,8,2,0.489,0.144,0.058,0.323,85000,8121,0.0955,4115,0.0081,0.0205,0.0495,26.54,1200,0.913,10.45,0.5889,2.04,0.2333,0.3197,0.1444,1
ORDR-0073,2024,6,2,15,nacional,terrestre,1,66,0,0.078,0.392,0.283,0.086,0.049,0.167,0.084,0.22,100,12,3,0.762,0.168,0.096,0.089,85000,10729,0.1262,5817,0.0161,0.035,0.0661,23.15,1200,0.868,15.24,0.3263,3.07,0.5278,0.5891,0.077,3
ORDR-0074,2025,2,1,5,nacional,terrestre,3,141,0,0.302,0.423,0.285,0.1,0.088,0.231,0.237,0.247,100,12,3,0.227,0.417,0.399,0.254,276222,47015,0.1702,41843,0.0516,0.1274,0.1449,16.55,700,0.842,32.44,0.0225,14.62,0.7888,0.4098,0.3306,3
ORDR-0075,2025,6,2,18,nacional,terrestre,3,221,0,0.323,0.466,0.355,0.132,0.087,0.24,0.267,0.213,100,15,3,0.392,0.337,0.59,0.376,185618,29465,0.1587,30049,0.0536,0.1378,0.151,19.49,884,0.73,29.13,0.0531,11.13,0.8706,0.5303,0.416,3
ORDR-0076,2024,9,3,24,internacional,terrestre,1,37,0,0.586,0.361,0.237,0.062,0.057,0.182,0.098,0.141,100,11,3,0.415,0.338,0.378,0.295,145973,21608,0.148,9539,0.0405,0.0252,0.0738,25.4,863,0.857,9.48,0.6738,9.79,0.4583,0.4511,0.3118,1
ORDR-0077,2024,7,3,9,nacional,terrestre,1,153,0,0.689,0.4,0.25,0.051,0.039,0.06,0.167,0.158,100,15,4,0.584,0.914,0.846,0.949,177589,10901,0.0614,6977,0.0031,0.0324,0.0442,33.08,545,0.954,8.52,0.778,2.2,0.3809,0.6857,0.9207,4
ORDR-0078,2025,6,2,13,nacional,aereo,3,245,0,0.444,0.651,0.206,0.098,0.083,0.249,0.231,0.247,100,16,4,0.815,0.738,0.896,0.638,240032,25733,0.1072,12499,0.0385,0.1172,0.0553,30.5,437,0.886,27.44,0.0715,8.05,0.7444,0.7848,0.7596,2
ORDR-0079,2025,6,2,6,internacional,terrestre,2,246,0,0.13,0.362,0.277,0.111,0.069,0.118,0.221,0.24,100,14,4,0.507,0.541,0.689,0.523,158203,21861,0.1382,13197,0.0477,0.0514,0.0856,23.46,862,0.848,20.45,0.1803,12.89,0.6672,0.6381,0.5763,2
ORDR-0080,2025,2,1,19,nacional,maritimo,3,205,1,0.092,0.462,0.29,0.122,0.076,0.147,0.264,0.199,100,17,4,0.495,0.215,0.231,0.197,165961,28577,0.1722,20932,0.0541,0.1226,0.1185,21.0,918,0.72,31.32,0.0322,13.64,0.7257,0.6993,0.1812,3
ORDR-0081,2025,3,1,3,internacional,terrestre,3,197,0,0.322,0.397,0.168,0.064,0.026,0.143,0.113,0.093,100,12,3,0.442,0.497,0.662,0.875,239618,19178,0.08,21016,0.0244,0.0199,0.0846,30.39,439,0.852,27.96,0.0656,0.51,0.3133,0.4819,0.6855,4
ORDR-0082,2025,4,2,24,internacional,maritimo,2,204,1,0.231,0.297,0.379,0.144,0.092,0.26,0.298,0.304,100,4,1,0.066,0.037,0.069,0.09,147020,34892,0.2373,25453,0.082,0.1751,0.173,8.93,1200,0.55,29.72,0.0472,18.12,1.0,0.0,0.0231,3
ORDR-0083,2025,3,1,9,nacional,terrestre,3,159,0,0.376,0.544,0.273,0.065,0.029,0.126,0.088,0.163,100,11,4,0.619,0.477,0.662,0.465,223671,31842,0.1424,18793,0.0035,0.0891,0.0804,23.81,601,0.85,25.09,0.1014,10.57,0.3898,0.6105,0.5229,1
ORDR-0084,2024,6,2,12,nacional,terrestre,1,173,0,0.072,0.253,0.089,0.056,0.041,0.118,0.072,0.117,100,12,4,0.493,0.694,0.686,0.318,85000,2785,0.0328,0,0.012,0.0261,0.0,38.0,991,0.875,9.59,0.6631,7.11,0.266,0.59,0.5499,1
ORDR-0085,2025,5,2,14,internacional,terrestre,2,85,0,0.286,0.279,0.194,0.082,0.045,0.169,0.176,0.159,100,18,5,0.964,0.851,0.895,0.914,168036,17104,0.1018,0,0.0332,0.0453,0.0,33.1,575,0.907,15.23,0.3264,0.0,0.4906,0.9692,0.9028,4
ORDR-0086,2025,11,4,10,nacional,aereo,1,146,0,0.175,0.575,0.242,0.098,0.044,0.117,0.232,0.234,100,14,4,0.254,0.889,0.589,0.865,85000,9119,0.1073,6150,0.0238,0.0231,0.067,30.42,1200,0.9,15.1,0.3314,4.67,0.5809,0.5534,0.7907,2
